Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Mon Nov 13 2017 00:00:00 GMT+0000,8513.45,-4.00%
Tue Nov 14 2017 00:00:00 GMT+0000,9062.57,6.45%
Wed Nov 15 2017 00:00:00 GMT+0000,9146.46,0.93%
Thu Nov 16 2017 00:00:00 GMT+0000,9656.05,5.57%
Fri Nov 17 2017 00:00:00 GMT+0000,9928.71,2.82%
Sat Nov 18 2017 00:00:00 GMT+0000,10064.56,1.37%
Sun Nov 19 2017 00:00:00 GMT+0000,10291.16,2.25%
Mon Nov 20 2017 00:00:00 GMT+0000,10480.99,1.84%
Tue Nov 21 2017 00:00:00 GMT+0000,10821.91,3.25%
Wed Nov 22 2017 00:00:00 GMT+0000,10585.1,-2.19%
Thu Nov 23 2017 00:00:00 GMT+0000,10988.43,3.81%
Fri Nov 24 2017 00:00:00 GMT+0000,11197.48,1.90%
Sat Nov 25 2017 00:00:00 GMT+0000,11644.08,3.99%
Sun Nov 26 2017 00:00:00 GMT+0000,12135.1,4.22%
Mon Nov 27 2017 00:00:00 GMT+0000,12650.31,4.25%
Tue Nov 28 2017 00:00:00 GMT+0000,13027.77,2.98%
Wed Nov 29 2017 00:00:00 GMT+0000,13195.04,1.28%
Thu Nov 30 2017 00:00:00 GMT+0000,12697.47,-3.77%
Fri Dec 01 2017 00:00:00 GMT+0000,12780.7,0.66%
Sat Dec 02 2017 00:00:00 GMT+0000,13913.63,8.86%
Sun Dec 03 2017 00:00:00 GMT+0000,13876.19,-0.27%
Mon Dec 04 2017 00:00:00 GMT+0000,14284.94,2.95%
Tue Dec 05 2017 00:00:00 GMT+0000,14680.19,2.77%
Wed Dec 06 2017 00:00:00 GMT+0000,14555.16,-0.85%
Thu Dec 07 2017 00:00:00 GMT+0000,16129.15,10.81%
Fri Dec 08 2017 00:00:00 GMT+0000,18564.9,15.10%
Sat Dec 09 2017 00:00:00 GMT+0000,18352.75,-1.14%
Sun Dec 10 2017 00:00:00 GMT+0000,17601.41,-4.09%
Mon Dec 11 2017 00:00:00 GMT+0000,17325.48,-1.57%
Tue Dec 12 2017 00:00:00 GMT+0000,19392.14,11.93%
Wed Dec 13 2017 00:00:00 GMT+0000,21544.95,11.10%
Thu Dec 14 2017 00:00:00 GMT+0000,21032.95,-2.38%
Fri Dec 15 2017 00:00:00 GMT+0000,22272.71,5.89%
Sat Dec 16 2017 00:00:00 GMT+0000,22711.79,1.97%
Sun Dec 17 2017 00:00:00 GMT+0000,24372.69,7.31%
Mon Dec 18 2017 00:00:00 GMT+0000,23752.81,-2.54%
Tue Dec 19 2017 00:00:00 GMT+0000,25031,5.38%
Wed Dec 20 2017 00:00:00 GMT+0000,24509.69,-2.08%
Thu Dec 21 2017 00:00:00 GMT+0000,24325.98,-0.75%
Fri Dec 22 2017 00:00:00 GMT+0000,23930.58,-1.63%
Sat Dec 23 2017 00:00:00 GMT+0000,20981.49,-12.32%
Sun Dec 24 2017 00:00:00 GMT+0000,22431.61,6.91%
Mon Dec 25 2017 00:00:00 GMT+0000,21260.7,-5.22%
Tue Dec 26 2017 00:00:00 GMT+0000,21364.18,0.49%
Wed Dec 27 2017 00:00:00 GMT+0000,23241.37,8.79%
Thu Dec 28 2017 00:00:00 GMT+0000,22881.27,-1.55%
Fri Dec 29 2017 00:00:00 GMT+0000,21837.14,-4.56%
Sat Dec 30 2017 00:00:00 GMT+0000,23575.3,7.96%
Sun Dec 31 2017 00:00:00 GMT+0000,21211.12,-10.03%
Mon Jan 01 2018 00:00:00 GMT+0000,22745.54,7.23%
Tue Jan 02 2018 00:00:00 GMT+0000,22633.49,-0.49%
Wed Jan 03 2018 00:00:00 GMT+0000,25390.14,12.18%
Thu Jan 04 2018 00:00:00 GMT+0000,26670.96,5.04%
Fri Jan 05 2018 00:00:00 GMT+0000,26525.44,-0.55%
Sat Jan 06 2018 00:00:00 GMT+0000,27615.65,4.11%
Sun Jan 07 2018 00:00:00 GMT+0000,28551.62,3.39%
Mon Jan 08 2018 00:00:00 GMT+0000,28554.48,0.01%
Tue Jan 09 2018 00:00:00 GMT+0000,26660.2,-6.63%
Wed Jan 10 2018 00:00:00 GMT+0000,26203.41,-1.71%
Thu Jan 11 2018 00:00:00 GMT+0000,26545.07,1.30%
Fri Jan 12 2018 00:00:00 GMT+0000,24111.29,-9.17%
Sat Jan 13 2018 00:00:00 GMT+0000,25574.71,6.07%
